NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,mortality_postlarv,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,weight_feb,itd ,emergence_success,emergence_date ,sex ,Notes 
13,64,4,4,37,27-Apr,SH,4,0,0,,,,,,,1,0,30-Apr,3,1,,,,,,,,,stuck in provision 4/29
13,65,4,4,37,27-Apr,SH,5,0,0,2,3,8,,,,1,0,6-May,9,3,,,,,,,,,
13,66,4,4,37,27-Apr,SH,6,0,0,,,,,,,1,0,29-Apr,2,0,,,,,,,,,dead 4/29
14,68,2,4,33,28-Apr,C4,2,1,0,2,3,6,10,25,37,0,1,,,6,0.1214,0.0593,0.0691,0.0766,,0,,,
14,69,2,4,33,28-Apr,C4,3,0,0,2,3,6,10,25,37,0,0,,,,0.1182,0.0859,0.085,0.0556,,1,2/15/21,,
14,70,2,4,33,28-Apr,C4,4,0,0,2,4,7,11,31,32,0,1,,,8,0.0824,0.0362,0.0468,0.0535,,0,,M,
14,71,2,4,33,28-Apr,C4,5,0,0,4,4,7,11,31,33,0,1,,,6,0.0887,0.065,0.0622,0.0641,,0,,,
14,72,2,4,33,28-Apr,C4,6,0,0,3,4,6,12,25,39,0,1,,,6,0.0731,0.0375,0.0484,0.0551,,0,,,
15,74,3,7,33,28-Apr,SH,2,0,0,3,5,6,9,28,33,0,0,,,,0.207,0.1465,0.1428,0.141,,1,2/22/21,F,
16,76,1,4,25,28-Apr,NH,1,1,0,1,3,7,10,28,29,0,1,,,8,0.1468,0.1063,0.106,0.1034,,0,,F,
15,75,3,7,33,28-Apr,SH,3,0,0,4,,,,,,1,0,4-May,6,1,,,,,,,,,5/4 died deflaed 
16,77,1,4,25,28-Apr,NH,2,1,0,2,3,8,10,30,33,0,1,,,8,0.1866,0.1398,0.1362,0.1351,,0,,F,
16,78,1,4,25,28-Apr,NH,3,0,0,3,4,9,10,28,29,0,1,,,8,0.1797,0.1322,0.1293,0.1099,,0,,F,
16,80,1,4,25,28-Apr,NH,5,0,0,5,6,9,12,27,33,0,0,,,,0.1284,0.0968,0.0988,0.0991,,1,2/18/21,M,
16,79,1,4,25,28-Apr,NH,4,0,0,4,,,,,,1,0,6-May,8,1,,,,,,,,,5/6 died 
16,81,1,7,25,28-Apr,NH,6,0,0,5,6,9,13,27,33,0,0,,,,0.1071,0.0725,0.0751,0.0754,,1,2/16/21,M,
17,82,2,4,33,28-Apr,NH,1,1,0,2,3,4,10,32,40,0,0,,,,0.214,0.1556,0.1511,0.1498,,1,2/19/21,F,
17,83,2,4,33,28-Apr,NH,2,1,0,2,3,4,8,30,31,0,1,,,8,0.1817,0.1372,0.1338,0.1308,,0,,F,
17,84,2,4,33,28-Apr,NH,3,0,0,2,3,4,9,33,35,0,1,,,8,0.2062,0.1555,0.1515,0.1489,,0,,F,
17,86,2,4,33,28-Apr,NH,5,0,0,2,3,6,10,32,36,0,1,,,8,0.1968,0.1424,0.1383,0.1047,,0,,F,
17,85,2,4,33,28-Apr,NH,4,0,0,,,,,,,1,0,29-Apr,1,0,,,,,,,,,4/29 dead 
17,87,2,4,33,28-Apr,NH,6,0,0,3,3,6,10,32,33,0,1,,,8,0.113,0.0801,0.0811,0.0812,,0,,M,
17,88,2,4,33,28-Apr,NH,7,0,0,3,4,9,10,32,33,0,0,,,,0.1198,0.0845,0.0852,0.0853,,1,2/14/21,M,
18,90,1,4,25,28-Apr,NH,2,0,0,3,3,6,10,27,31,0,0,,,,0.1791,0.1298,0.1255,0.1243,,1,2/16/21,F,
18,89,1,4,25,28-Apr,NH,1,1,0,,,,,,,1,0,5-May,7,0,,,,,,,,,"dying 5/2, 5/5 dead stuck in provision"
18,91,1,4,25,28-Apr,NH,3,0,0,4,5,7,12,28,34,0,1,,,8,0.1889,0.14,0.1363,0.117,,0,,F,
18,92,1,7,25,28-Apr,NH,4,0,0,3,7,8,15,28,34,0,1,,,8,0.0888,0.0615,0.064,0.0622,,0,,M,
18,93,1,7,25,28-Apr,NH,5,0,0,3,5,7,11,28,34,0,1,,,8,0.113,0.0753,0.0772,0.076,,0,,M,
23,119,3,7,33,30-Apr,NH,1,1,0,1,3,5,7,26,31,0,1,,,8,0.1771,0.1217,0.1184,0.1088,,0,,F,
19,94,5,7,37,29-Apr,NH,1,1,0,2,3,,,,,1,0,5-May,6,2,,,,,,,,,"5/4 looks weird didn't molt all the way, 5/5 dead yellow"
19,95,5,7,37,29-Apr,NH,2,1,0,3,,,,,,1,0,3-May,4,1,,,,,,,,,
19,96,5,7,37,29-Apr,NH,3,0,0,2,3,,,,,1,0,5-May,6,2,,,,,,,,,5/1 dying or going to 1st instar 
19,97,5,7,37,29-Apr,NH,4,0,0,2,,,,,,1,0,4-May,5,1,,,,,,,,,5/4 dead! 
19,98,5,7,37,29-Apr,NH,5,0,0,,,,,,,1,0,1-May,2,0,,,,,,,,,
19,99,5,7,37,29-Apr,NH,6,0,0,,,,,,,1,0,29-Apr,0,0,,,,,,,,,probably dead knocked off provision 4/29
20,100,5,7,37,29-Apr,NH,1,1,0,3,5,,,,,1,0,5-May,6,2,,,,,,,,,5/5 dead yellow
20,101,5,7,37,29-Apr,NH,2,1,0,2,,,,,,1,0,29-Apr,0,0,,,,,,,,,
20,102,5,7,37,29-Apr,NH,3,0,0,2,4,5,,,,1,0,14-May,16,4,,,,,,,,,maybe dead 5/13 
20,103,5,7,37,29-Apr,NH,4,0,0,2,,,,,,1,0,3-May,4,1,,,,,,,,,
20,104,5,7,37,29-Apr,NH,5,0,0,3,,,,,,1,0,4-May,5,1,,,,,,,,,
20,105,5,7,37,29-Apr,NH,6,0,0,3,5,,,,,1,0,5-May,6,2,,,,,,,,,5/5 dead 
21,108,5,7,37,2-May,SH,3,1,0,,,,,,,1,0,3-May,1,0,,,,,,,,,wrinkly 5/2 dead 5/3
21,109,5,7,37,2-May,SH,4,0,0,2,4,8,,,,1,0,13-May,11,4,,,,,,,,,"wrinkly 5/2, 5/8 not eating "
21,110,5,7,37,2-May,SH,5,0,0,3,4,,,,,1,0,8-May,6,2,,,,,,,,,"5/7 not eating yellowing, 5/8 dead "
21,111,5,7,37,2-May,SH,6,0,0,,,,,,,1,0,3-May,1,0,,,,,,,,,5/3 dead
22,114,5,7,37,30-Apr,NH,3,0,0,,,,,,,1,0,2-May,2,0,,,,,,,,,5/2 dead deflated
22,115,5,7,37,30-Apr,NH,4,0,0,1,,,,,,1,0,2-May,2,1,,,,,,,,,5/2 dead deflated
22,116,5,7,37,30-Apr,NH,5,0,0,,,,,,,1,0,3-May,2,0,,,,,,,,,
22,117,5,7,37,30-Apr,NH,6,0,0,,,,,,,1,0,3-May,2,0,,,,,,,,,
22,118,5,7,37,30-Apr,NH,7,0,0,,,,,,,1,0,2-May,2,0,,,,,,,,,5/2 dead
23,120,3,7,33,30-Apr,NH,2,1,0,2,3,5,7,26,32,0,1,,,8,0.153,0.1155,0.1134,0.0966,,0,,F,
23,121,3,7,33,30-Apr,NH,3,0,0,1,4,5,10,28,34,0,1,,,8,0.1625,0.111,0.1077,0.0974,,0,,F,
23,122,3,7,33,30-Apr,NH,4,0,0,3,4,6,8,26,28,0,0,,,,0.1063,0.073,0.0748,0.0748,,1,2/16/21,M,
24,124,1,4,25,30-Apr,NH,1,1,0,4,6,7,11,28,34,0,1,,,8,0.2096,0.0942,0.1043,0.1117,,0,,F,
23,123,3,7,33,30-Apr,NH,5,0,0,1,,,,,,1,0,4-May,4,1,,,,,,,,,looks deflated 5/2
24,125,1,4,25,30-Apr,NH,2,1,0,3,4,7,12,30,33,0,1,,,8,0.1768,0.1185,0.1129,0.1052,,0,,F,
24,126,1,4,25,30-Apr,NH,3,0,0,4,6,7,12,32,34,0,0,,,,0.2042,0.1419,0.1364,0.1334,,1,2/22/21,F,
24,127,1,7,25,30-Apr,NH,4,0,0,5,6,7,12,28,31,0,0,,,,0.1039,0.0739,0.0757,0.0762,,1,2/18/21,M,
24,128,1,7,25,30-Apr,NH,5,0,0,5,6,7,13,28,31,0,0,,,,0.0999,0.0707,0.0726,0.0733,,1,2/18/21,M,5/4 unwell
25,130,1,4,25,1-May,NH,2,1,0,4,6,7,12,29,35,0,0,,,,0.2044,0.1552,0.1509,0.1492,,1,2/22/21,M ,
25,129,1,4,25,1-May,NH,1,1,0,4,6,7,,,,1,0,15-May,14,4,,,,,,,,,5/15 died brown
25,131,1,7,25,1-May,NH,3,0,0,4,6,7,12,31,37,0,0,,,,0.1125,0.0748,0.0763,0.0715,,1,2/14/21,M,
25,132,1,4,25,1-May,NH,4,0,0,4,6,7,13,31,37,0,1,,,8,0.1822,0.1329,0.1294,0.1273,,0,,F,
25,133,1,4,25,1-May,NH,5,0,0,4,5,9,13,31,37,0,0,,,,0.1323,0.096,0.0963,0.096,,1,2/14/21,M,
25,134,1,4,25,1-May,NH,6,0,0,4,9,12,17,35,39,0,0,,,,0.1162,0.0832,0.0845,0.084,,1,2/14/21,M,
26,135,3,7,33,1-May,C1,1,1,0,1,2,5,7,23,25,0,1,,,8,0.1238,0.0796,0.0695,0.055,,0,,F,
26,136,3,7,33,1-May,C1,2,1,0,1,2,5,7,23,26,0,1,,,8,0.0716,0.0341,0.0313,0.0349,,0,,M,
26,137,3,7,33,1-May,C1,3,1,0,2,2,5,8,25,29,0,1,,,6,0.0964,0.0576,0.0669,0.0723,,0,,,
26,138,3,7,33,1-May,C1,4,0,0,2,2,5,7,23,25,0,1,,,8,0.0922,0.064,0.0661,0.0512,,0,,M,
26,139,3,7,33,1-May,C1,5,0,0,2,2,5,6,20,23,0,1,,,8,0.0937,0.0631,0.0649,0.0639,,0,,M,
26,140,3,7,33,1-May,C1,6,0,0,1,3,6,8,25,28,0,1,,,6,0.1006,0.0591,0.0685,0.0736,,0,,,
26,142,3,7,33,1-May,C1,8,0,0,1,3,6,7,26,32,0,1,,,8,0.1084,0.0759,0.0761,0.0746,,0,,M,
26,141,3,7,33,1-May,C1,7,0,0,1,3,6,,,,1,0,9-May,8,4,,,,,,,,,5/9 dead 
26,143,3,7,33,1-May,C1,9,0,0,1,3,6,10,27,29,0,1,,,8,0.0886,0.0626,0.0646,0.0541,,0,,M,
26,144,3,7,33,1-May,C1,10,0,0,2,3,6,7,25,29,0,1,,,8,0.0846,0.0537,0.0555,0.049,,0,,M ,
27,146,4,4,37,3-May,NH,2,1,0,1,2,5,10,35,36,0,0,,,,0.0849,0.0608,0.063,0.0629,,1,2/14/21,M,
27,145,4,4,37,3-May,NH,1,1,0,1,2,5,,,,1,0,10-May,7,4,,,,,,,,,5/9 dying 
27,148,4,4,37,3-May,NH,4,0,0,3,4,7,13,38,42,0,1,,,8,0.166,0.1182,0.1157,0.1112,,0,,,"began to emerge, started to bite the cocoon but died.. "
27,147,4,4,37,3-May,NH,3,1,0,2,3,,,,,1,0,8-May,5,2,,,,,,,,,dead 5/8
28,152,3,7,33,3-May,NH,1,1,0,2,3,4,7,23,29,0,0,,,,0.1646,0.1129,0.109,0.0923,,1,2/14/21,F,
27,149,4,4,37,3-May,NH,5,0,0,3,,,,,,1,0,7-May,4,1,,,,,,,,,off provision? 5/3
27,150,4,4,37,3-May,NH,6,0,0,,,,,,,1,0,4-May,1,0,,,,,,,,,dead 5/4
27,151,4,4,37,3-May,NH,7,0,0,,,,,,,1,0,6-May,3,0,,,,,,,,,5/6 dead deflated in provision 
28,154,3,7,33,3-May,NH,3,0,0,2,3,4,7,23,26,0,1,,,8,0.0853,0.0565,0.0572,0.0557,,0,,M ,
28,153,3,7,33,3-May,NH,2,1,0,2,3,,,,,1,0,7-May,4,2,,,,,,,,,dead 5/7 fell off provision
28,155,3,7,33,3-May,NH,4,0,0,2,3,4,7,23,26,0,0,,,,0.1161,0.0858,0.0864,0.0861,,1,2/19/21,M,
28,156,3,7,33,3-May,NH,5,0,0,2,3,4,7,25,29,0,0,,,,0.1126,0.0831,0.0838,0.0833,,1,2/18/21,M,
28,157,3,7,33,3-May,NH,6,0,0,3,4,6,7,23,27,0,0,,,,0.1109,0.0783,0.0786,0.0779,,1,2/19/21,M,
29,158,2,4,33,3-May,NH,1,1,0,2,3,4,9,28,30,0,1,,,8,0.1317,0.0923,0.0927,0.0913,,0,,M ,
29,159,2,4,33,3-May,NH,2,1,0,2,3,4,8,27,30,0,0,,,,0.1776,0.1263,0.1201,0.1159,,1,2/18/21,F,
29,160,2,4,33,3-May,NH,3,0,0,2,3,4,9,28,30,0,0,,,,0.1233,0.0802,0.0796,0.0786,,1,2/19/21,M,
29,161,2,4,33,3-May,NH,4,0,0,3,4,5,10,29,30,0,0,,,,0.1128,0.0945,0.0945,0.938,,1,2/22/21,M,
29,162,2,4,33,3-May,NH,5,0,0,3,4,9,10,25,28,0,0,,,,0.0873,0.0603,0.0629,0.0626,,1,2/18/21,M,
30,163,3,7,33,4-May,SH,1,1,0,2,3,4,8,27,30,0,0,,,,0.1307,0.0963,0.0964,0.0943,,1,2/15/21,M,
30,164,3,7,33,4-May,SH,2,1,0,2,3,4,8,27,32,0,0,,,,0.1465,0.1125,0.1129,0.1124,,1,2/16/21,M,
30,165,3,7,33,4-May,SH,3,1,0,2,3,4,8,27,34,0,1,,,6,0.1015,0.0593,0.0685,0.0729,,0,,,
30,166,3,7,33,4-May,SH,4,0,0,3,4,5,9,27,30,0,0,,,,0.1187,0.0833,0.0844,0.0815,,1,2/14/21,M,
30,168,3,7,33,4-May,SH,6,0,0,2,4,6,9,26,30,0,0,,,,0.1286,0.0876,0.0875,0.0852,,1,2/14/21,M,
30,167,3,7,33,4-May,SH,5,0,0,,,,,,,1,0,5-May,1,0,,,,,,,,,5/5 deflated dead
31,169,3,7,33,5-May,NH,1,1,0,2,3,4,8,30,34,0,1,,,8,0.1952,0.1465,0.1413,0.1365,,0,,F,
31,171,3,7,33,5-May,NH,3,1,0,3,4,6,9,30,35,0,0,,,,0.143,0.1037,0.1034,0.0995,,1,2/14/21,M,
31,170,3,7,33,5-May,NH,2,1,0,,,,,,,1,0,7-May,2,0,,,,,,,,,5/7 wrinkly
31,174,3,7,33,5-May,NH,6,0,0,3,4,7,9,27,31,0,0,,,,0.103,0.0748,0.0769,0.0736,,1,2/14/21,M,
31,172,3,7,33,5-May,NH,4,0,0,,,,,,,1,0,9-May,4,0,,,,,,,,,5/9 stuck in provision 
31,173,3,7,33,5-May,NH,5,0,0,3,,,,,,1,0,11-May,6,1,,,,,,,,,5/11 deflated
32,175,2,4,33,6-May,NH,1,1,0,1,2,4,8,25,29,0,1,,,8,0.1658,0.1211,0.1159,0.1059,,0,,F,
32,176,2,4,33,6-May,NH,2,1,0,1,2,4,8,26,29,0,1,,,8,0.1416,0.1077,0.1061,0.101,,0,,F,
32,177,2,4,33,6-May,NH,3,1,0,1,3,4,9,25,29,0,1,,,8,0.1569,0.1124,0.1075,0.1013,,0,,F,
32,178,2,4,33,6-May,NH,4,0,0,1,3,4,8,25,30,0,0,,,,0.104,0.0819,0.0839,0.0835,,1,2/19/21,M,
32,179,2,4,33,6-May,NH,5,0,0,2,3,5,10,30,32,0,0,,,,0.0937,0.0656,0.067,0.0651,,1,2/14/21,M,
32,180,2,4,33,6-May,NH,6,0,0,2,3,5,9,26,30,0,0,,,,0.1061,0.0766,0.0766,0.0746,,1,2/18/21,M,
33,181,4,4,37,7-May,SH,1,1,0,1,2,4,11,34,38,0,1,,,6,0.1575,0.0961,0.1045,0.1117,,0,,,5/8 wrinkly
36,197,3,7,33,8-May,NH,2,1,0,2,4,5,7,29,33,0,1,,,8,0.1765,0.1255,0.1208,0.1067,,0,,F,
33,182,4,4,37,7-May,SH,2,1,0,2,3,,,,,1,0,12-May,5,2,,,,,,,,,5/10 wrinkly and slightly deflated in the provision 
33,183,4,4,37,7-May,SH,3,0,0,,,,,,,1,0,9-May,2,0,,,,,,,,,5/8 wrinkly
33,184,4,4,37,7-May,SH,4,0,0,1,,,,,,1,0,12-May,5,1,,,,,,,,,"5/10 head is wrinkly, molting or dying "
33,185,4,4,37,7-May,SH,5,0,0,1,,,,,,1,0,10-May,,,,,,,,,,,
33,186,4,4,37,7-May,SH,6,0,0,1,3,,,,,1,0,13-May,6,2,,,,,,,,,5/10 slightly deflated 
34,187,4,4,37,7-May,C1,1,1,0,1,,,,,,1,0,9-May,2,1,,,,,,,,,5/9 deflated
34,188,4,4,37,7-May,C1,2,1,0,1,,,,,,1,0,9-May,2,1,,,,,,,,,5/9 deflated
34,189,4,4,37,7-May,C1,3,0,0,,,,,,,1,0,9-May,2,0,,,,,,,,,5/9 deflated
34,190,4,4,37,7-May,C1,4,0,0,2,,,,,,1,0,11-May,4,1,,,,,,,,,5/11 deflated
34,191,4,4,37,7-May,C1,5,0,0,1,,,,,,1,0,9-May,2,1,,,,,,,,,5/9 deflated falling over kinda 
34,192,4,4,37,7-May,C1,6,0,0,1,,,,,,1,0,12-May,5,1,,,,,,,,,5/12 deflated 
34,193,4,4,37,7-May,C1,7,0,0,3,,,,,,1,0,11-May,4,1,,,,,,,,,5/11 deflated 
34,194,4,4,37,7-May,C1,8,0,0,1,3,,,,,1,0,12-May,5,2,,,,,,,,,5/12 deflated
35,195,4,4,37,8-May,SH,1,1,0,3,,,,,,1,0,13-May,5,1,,,,,,,,,"5/13 fell off provision, died"
36,198,3,7,33,8-May,NH,3,1,0,2,4,6,8,31,34,0,0,,,,0.1283,0.0867,0.0861,0.082,,1,2/14/21,M,
36,201,3,7,33,8-May,NH,6,0,0,2,4,6,8,31,32,0,0,,,,0.1116,0.08,0.0808,0.0778,,1,2/11/21,M,
36,199,3,7,33,8-May,NH,4,0,0,1,2,,,,,1,0,12-May,4,2,,,,,,,,,5/8 off provision 
36,200,3,7,33,8-May,NH,5,0,0,,,,,,,1,0,12-May,4,0,,,,,,,,,5/12 dead
37,202,1,4,25,8-May,NH,1,1,0,2,3,5,10,30,33,0,1,,,8,0.1683,0.0793,0.0867,0.0924,,0,,F,
37,203,1,7,25,8-May,NH,2,1,0,5,7,10,12,30,33,0,1,,,8,0.0936,0.0623,0.0616,0.057,,0,,M,
